,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,review
0,2022-01-18T07:50:29.000Z,428578,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/iliany_nf"">iliany_nf</a></p>]","[<p class=""profile-age"">19 - 24</p>]",85046,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/serum-essence-23/implora/implora-serum-wajah-1?tab=reviews"">Luminous Brightening Serum</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/implora?tab=products&amp;order=popular&amp;page=1"">Implora</a></h3>]","[<span class=""rating-text"">4.2</span>]","[<span class=""rating-total"">(<!-- -->118<!-- -->)</span>]",Shopee,Serum \\u0026 Essence,Treatment,"[<p class=""profile-description"">Normal, Medium, Neutral</p>]",Less than 1 week,y,3,"[<p class=""recommend""><i class=""icon-ic_thumbs_down""><span class=""path1""></span><span class=""path2""></span></i><b>iliany_nf doesn't recommend this product!<!-- --> </b></p>]","OMOOO gak ngerti ini bener2 ngelembabin dan semenjak apaki ini combo dengan creamnya di kulit aku yang super kering, gersang, dan cracky ini jadi lebih lembab dan tersulap terlihat glowing.. cuma untuk mencerahkanya kurang tapi bikin kulit keliatan sehat dan berpendar. hehehe """
1,2022-01-18T07:44:47.000Z,917588,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/ceceh"">ceceh</a></p>]","[<p class=""profile-age"">25 - 29</p>]",83693,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/serum-essence-23/azarine-cosmetics/revitalizingly-bright-depuff-eye-gel-1?tab=reviews"">Revitalizing Anti aging serum</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/azarine-cosmetics?tab=products&amp;order=popular&amp;page=1"">Azarine Cosmetics</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->802<!-- -->)</span>]",Brand website,Serum \\u0026 Essence,Treatment,"[<p class=""profile-description"">Oily, Medium, Warm</p>]",Less than 1 week,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>ceceh recommends this product!</b></p>]","Wanginya kaya YSL Black opium. Tapi beli ini karena claimnya untuk kulit. Cuma somehow aku merasa di kulitku biasa aja dan kurang meninggalkan kesan yang bikin \xe2\x80\x9cwah repurchase\xe2\x80\x9d gitu soalnya feelnya kaya sabun mandi yg range harga di bawah ini. Dari kemampuannya melembapkan kulit biasa aja di kulitku. ga ninggalin efek keset, tapi nggak bikin yg lembab. So aku prefer sabun lainnya"""
2,2022-01-18T07:44:07.000Z,900967,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Maylindaardifah"">Maylindaardifah</a></p>]","[<p class=""profile-age"">19 - 24</p>]",90288,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/beauty-supplement/collagen-drink/noera-by-reisha/noera-collagen-drink-4?tab=reviews"">Collagen Drink</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/noera-by-reisha?tab=products&amp;order=popular&amp;page=1"">Noera by Reisha</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->13<!-- -->)</span>]",Shopee,Collagen Drink,Beauty Supplement,"[<p class=""profile-description"">Combination, Medium Light, Neutral</p>]",1 week - 1 month,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>Maylindaardifah recommends this product!</b></p>]","Kalau ini parfum biasanya dipakai kalau pulang sekolah mandi sore trus cus nongkrong depan rumah.Ahahaha\\nHarum yang musk nya tuh segerr banget, bikin berasa anak kawla muda terus. Memang sih tahan wanginya nggak begitu lama tapi segernya tuh bikin lupa diri kayak mandi pengen splash-slash aja"""
3,2022-01-18T07:43:56.000Z,594881,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/RahelSiagian"">RahelSiagian</a></p>]","[<p class=""profile-age"">19 - 24</p>]",89568,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/face/concealer/somethinc/wake-me-up-hd-blur-high-coverage-concealer-orange-corrector-1?tab=reviews"">Wake Me Up HD Blur High Coverage Concealer </a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/somethinc?tab=products&amp;order=popular&amp;page=1"">Somethinc</a></h3>]","[<span class=""rating-text"">5</span>]","[<span class=""rating-total"">(<!-- -->1<!-- -->)</span>]",Shopee,Concealer,Face,"[<p class=""profile-description"">Combination, Medium Light, Neutral</p>]",1 month - 3 months,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>RahelSiagian recommends this product!</b></p>]","Pertama kalinya nih nyobain whitening lifting serum dari ms glow. Awal tertarik sama kata-kata \\u0026#34;lifting\\u0026#34; nya karna kan konon lifting itu artinya mengencangkan ya bok. Dan aku tuh selalu suka yang kencang2. Jadi cus deh cobain, alhasil lumayan suka sih, berasa kulit jd jd cerah dan kencang"""
4,2022-01-18T07:41:35.000Z,992291,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/bunnys"">bunnys</a></p>]","[<p class=""profile-age"">18 and Under</p>]",78469,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/moisturizer/sun-protection-44/azarine-cosmetics/hydrashoothe-sunscreen-gel-spf45?tab=reviews"">Hydrasoothe Sunscreen Gel SPF 45+++</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/azarine-cosmetics?tab=products&amp;order=popular&amp;page=1"">Azarine Cosmetics</a></h3>]","[<span class=""rating-text"">4.8</span>]","[<span class=""rating-total"">(<!-- -->3748<!-- -->)</span>]",tiktok,Sun Protection,Moisturizer,"[<p class=""profile-description"">Dry, Medium, Neutral</p>]",3 months - 6 months,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>bunnys recommends this product!</b></p>]","sebenarnya serum ini kandungannya bagus ada vit c nya tp ga cocok di kulit aku. Sbnrnya gada nimbulin efek negatif yg parah kya breakout parah, jerawat, kulit kemerahan dn gatal. Cuma kulitku jd semakin kering aja sih dibuat. Gatah ntah aku ga cocok pakai vit c atau gimana. Skrg lg pakai serum krna msh nyari2 yg cocok."""
5,2022-01-18T07:41:33.000Z,59555,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/nesyanandra"">nesyanandra</a></p>]","[<p class=""profile-age"">30 - 34</p>]",85320,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment-color/mask-04/bonvie/haircare-mask-fermented-herbs?tab=reviews"">Haircare Mask (Fermented Herbs)</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/bonvie?tab=products&amp;order=popular&amp;page=1"">Bonvie</a></h3>]","[<span class=""rating-text"">4.6</span>]","[<span class=""rating-total"">(<!-- -->23<!-- -->)</span>]",Shopee,Hair Mask,Treatment,"[<p class=""profile-description"">Oily, Medium Dark, Neutral</p>]",1 month - 3 months,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>nesyanandra recommends this product!</b></p>]","Rekomendasi dari mama aku, Awalnya tertarik coba produk ini gara-gara liat mama yang keliatan banget perubahannya.. lebih cerah, sehat aja gitu kulitnya.. akhirnya coba sekali pake teksturnya mirip2 sleeping mask laneige dan mutusin buat beli rutin pakai akhir2 ini belum 1 bulan, bener aja muka lebih hydrated, cerah apalagi klo bangun tidur suka banget kulit muka glowing2 gimanaaaa gitu.. semoga makin cocok yaa \xf0\x9f\x98\x86\xf0\x9f\x98\x8d"""
6,2022-01-18T07:39:19.000Z,699190,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Umslimoon"">Umslimoon</a></p>]","[<p class=""profile-age"">19 - 24</p>]",86941,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/cleanser/toner/rovectin/rovectin-clean-lotus-water-calming-toner?tab=reviews"">Clean Lotus Water Calming Toner</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/rovectin?tab=products&amp;order=popular&amp;page=1"">Rovectin</a></h3>]","[<span class=""rating-text"">4.5</span>]","[<span class=""rating-total"">(<!-- -->26<!-- -->)</span>]",Instagram,Toner,Cleanser,"[<p class=""profile-description"">Combination, Medium, Warm</p>]",1 month - 3 months,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>Umslimoon recommends this product!</b></p>]","butiran scrub nya kecil-kecil dan lembut banget waktu dipakai di bibir. pakai sedikit aja udah cukup untuk se bibir. ampuh banget buat menghaluskan kulit bibir. wanginya ga begitu kuat, jadi cukup nyaman dipakainya. kemasannya juga kecil jadi gampang diselipin di makeup pouch"""
7,2022-01-18T07:36:59.000Z,274417,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Meiraani"">Meiraani</a></p>]","[<p class=""profile-age"">25 - 29</p>]",83180,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/lips/lip-treatment/noera-by-reisha/noera-watermelon-moisturizing-lip-balm?tab=reviews"">Noera Watermelon Moisturizing Lip Balm</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/noera-by-reisha?tab=products&amp;order=popular&amp;page=1"">Noera by Reisha</a></h3>]","[<span class=""rating-text"">4.8</span>]","[<span class=""rating-total"">(<!-- -->119<!-- -->)</span>]",FD Try and Review,Lip Balm \\u0026 Treatments,Lips,"[<p class=""profile-description"">Dry, Medium, Warm</p>]",Less than 1 week,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>Meiraani recommends this product!</b></p>]","Ternyata sebagus itu ya buat mengatasi lingkaran hitam di bawah mata, setelah pemakaian seminggu hasilnya beda banget, semoga nanti garis halus dan kerutan juga bisa teratasi dg pemakaian yang lebih rutin. Packagingnya juga secantik itu ya. Suka banget si sama produk ini"""
8,2022-01-18T07:35:45.000Z,992381,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/myuteadhilia"">myuteadhilia</a></p>]","[<p class=""profile-age"">19 - 24</p>]",66416,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/moisturizer/day-cream/the-aubree/even-brighter-day-cream?tab=reviews"">Even Brighter Day Cream</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/the-aubree?tab=products&amp;order=popular&amp;page=1"">the Aubree</a></h3>]","[<span class=""rating-text"">4</span>]","[<span class=""rating-total"">(<!-- -->100<!-- -->)</span>]",Shopee,Day Cream,Moisturizer,"[<p class=""profile-description"">Combination, Medium, Neutral</p>]",1 week - 1 month,y,2,"[<p class=""recommend""><i class=""icon-ic_thumbs_down""><span class=""path1""></span><span class=""path2""></span></i><b>myuteadhilia doesn't recommend this product!<!-- --> </b></p>]","Ini rekomend banget untuk menghilangkan mata panda! bener-bener efektif banget ngurangin mata panda, nyesel sih baru pakai eye serum dari npure kenapaa gak dari dulu kenal sama npure eye serum, karena emang sebagus itu produknya! Thankyou Npure \xe2\x9d\xa4"""
9,2022-01-18T07:34:45.000Z,59555,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/nesyanandra"">nesyanandra</a></p>]","[<p class=""profile-age"">30 - 34</p>]",18398,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/acne-treatment/cosrx/centella-blemish-cream?tab=reviews"">Centella Blemish Cream</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/cosrx?tab=products&amp;order=popular&amp;page=1"">Cosrx</a></h3>]","[<span class=""rating-text"">3.9</span>]","[<span class=""rating-total"">(<!-- -->571<!-- -->)</span>]",Olive Young,Acne Treatment,Treatment,"[<p class=""profile-description"">Oily, Medium Dark, Neutral</p>]",3 months - 6 months,n,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>nesyanandra recommends this product!</b></p>]","Cream ini bagus sih, aku ada bekas jerawat yang lumayan ketara. Setelah 2 mingguan mulai pudar setelah rutin pake cream ini. Terus kulit aku termasuk tipe kering sampe iritasi, berkat cream ini udah mendingan jauh dan lebih moist. """
10,2022-01-18T07:34:07.000Z,948618,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/citaandikaaa"">citaandikaaa</a></p>]","[<p class=""profile-age"">19 - 24</p>]",80152,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/eye-treatment/eye-serum/npure/marigold-eye-power-serum-concentrate?tab=reviews"">Marigold Eye Power Serum Concentrate</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/npure?tab=products&amp;order=popular&amp;page=1"">N'pure</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->1904<!-- -->)</span>]",Instagram,Eye Serum,Eye Treatment,"[<p class=""profile-description"">Dry, Medium Light, Neutral</p>]",1 week - 1 month,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>citaandikaaa recommends this product!</b></p>]","Sebenernya lebih cocok yang warna abu-abu sih karena kulitku berminyak. Beli ini karena penasaran aja. Plusnya menurutku dia gak bikin perih kalo kena mata. Kalo buat setting spray menurutku gak cukup masker-proof."""
11,2022-01-18T07:31:58.000Z,274417,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Meiraani"">Meiraani</a></p>]","[<p class=""profile-age"">25 - 29</p>]",83182,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/lips/lip-treatment/noera-by-reisha/noera-watermelon-lip-scrub?tab=reviews"">Noera Watermelon Lip Scrub</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/noera-by-reisha?tab=products&amp;order=popular&amp;page=1"">Noera by Reisha</a></h3>]","[<span class=""rating-text"">4.8</span>]","[<span class=""rating-total"">(<!-- -->111<!-- -->)</span>]",FD Try and Review,Lip Balm \\u0026 Treatments,Lips,"[<p class=""profile-description"">Dry, Medium, Warm</p>]",Less than 1 week,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>Meiraani recommends this product!</b></p>]","First time coba serum ini, teksturnya kental tp gak butuh waktu lama untuk meresap. Pakai dimalam hari dibarengi sama night creamnya, besok paginya berasa kulit lebih lembab dan kenyal. So far gak ada efek negatif dikulitku. Aku ngerasa tekstur kulitku sedikit membaik, lebih halus. Untuk efek anti agingnya belum kelihatan ya, karna baru sebentar pakai. Next bakal repurchase semoga bisa kebeli yg full size nya"""
12,2022-01-18T07:31:13.000Z,478299,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Ivennawindika"">Ivennawindika</a></p>]","[<p class=""profile-age"">19 - 24</p>]",51748,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/face/primer-corrector/studio-tropik/belance-priming-water?tab=reviews"">Balance Priming Water</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/studio-tropik?tab=products&amp;order=popular&amp;page=1"">Studio Tropik</a></h3>]","[<span class=""rating-text"">4.3</span>]","[<span class=""rating-total"">(<!-- -->323<!-- -->)</span>]",Gift,Corrector \\u0026 Primer,Face,"[<p class=""profile-description"">Combination, Medium Light, Cool</p>]",1 week - 1 month,y,3,"[<p class=""recommend""><i class=""icon-ic_thumbs_down""><span class=""path1""></span><span class=""path2""></span></i><b>Ivennawindika doesn't recommend this product!<!-- --> </b></p>]","awalnya penasaran krn reviewnya bagus\xc2\xb2, aku coba buktiin buat skin aku yang kombinasi cenderung berminyak dan waaaaaw, gilss adem bgt ke muka kek nyegerin gitu kesannya. Selesai di bilas oh good muka kek pantat bayi dan besoknya seharian muka aku kekontrol bgt minyaknya \xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f all good sih juara"""
13,2022-01-18T07:29:39.000Z,130872,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/thevelyn"">thevelyn</a></p>]","[<p class=""profile-age"">19 - 24</p>]",83182,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/lips/lip-treatment/noera-by-reisha/noera-watermelon-lip-scrub?tab=reviews"">Noera Watermelon Lip Scrub</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/noera-by-reisha?tab=products&amp;order=popular&amp;page=1"">Noera by Reisha</a></h3>]","[<span class=""rating-text"">4.8</span>]","[<span class=""rating-total"">(<!-- -->110<!-- -->)</span>]",FD Try and Review,Lip Balm \\u0026 Treatments,Lips,"[<p class=""profile-description"">Dry, Medium Light, Neutral</p>]",Less than 1 week,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>thevelyn recommends this product!</b></p>]","Suka banget masker ini apalagi sama aromanya yang menenangkan pas kita apply dimuka bikin adem gitu, dan teksturnya gel jadi cepet banget meresap gitu dan setelah bikin wajah lebih kenyal, lebih lembab dan juga gampang banget pemakaiannya sih love this gel mask :)"""
14,2022-01-18T07:28:56.000Z,594881,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/RahelSiagian"">RahelSiagian</a></p>]","[<p class=""profile-age"">19 - 24</p>]",43789,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/moisturizer-36/lotions/vaseline/intensive-care-deep-restore?tab=reviews"">Intensive Care Deep Restore</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/vaseline?tab=products&amp;order=popular&amp;page=1"">Vaseline</a></h3>]","[<span class=""rating-text"">4.3</span>]","[<span class=""rating-total"">(<!-- -->51<!-- -->)</span>]",Di supermarket kotaku,Lotion,Moisturizer,"[<p class=""profile-description"">Combination, Medium Light, Neutral</p>]",1 month - 3 months,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>RahelSiagian recommends this product!</b></p>]","Recomended bgt deh, miselar water nya non alkohol. Udh gitu semua kotoran keangakat sempurna the best fix nyesel kalo ga nyetok. Asli sih udh di bilas kotoran make up dan lainnya ga da yang nempel\xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0"""
15,2022-01-18T07:27:46.000Z,870995,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/insyirazeafitri"">insyirazeafitri</a></p>]","[<p class=""profile-age"">19 - 24</p>]",87905,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/eye-treatment/eye-cream-59/skintific/360-crystal-massager-lifting-eye-cream?tab=reviews"">360 Crystal Massager Lifting Eye Cream</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/skintific?tab=products&amp;order=popular&amp;page=1"">Skintific</a></h3>]","[<span class=""rating-text"">4.3</span>]","[<span class=""rating-total"">(<!-- -->6<!-- -->)</span>]",Shopee,Eye Cream,Eye Treatment,"[<p class=""profile-description"">Normal, Medium Light, Neutral</p>]",1 month - 3 months,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>insyirazeafitri recommends this product!</b></p>]","Serum Niacinamide pertama yang aku cobain dan langsung sukaaaa, tekstur nya agak kental gitu, tapi lumayan cepat meresap. Bisa mencerahkan kulit aku, gak bikin kering dan iritasi. Worth to try sih buat pemula yang coba Niacinamide"""
16,2022-01-18T07:27:17.000Z,992381,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/myuteadhilia"">myuteadhilia</a></p>]","[<p class=""profile-age"">19 - 24</p>]",2146,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/cleanser/toner/klairs/supple-preparation-facial-toner?tab=reviews"">Supple Preparation Facial Toner</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/klairs?tab=products&amp;order=popular&amp;page=1"">Klairs</a></h3>]","[<span class=""rating-text"">4.4</span>]","[<span class=""rating-total"">(<!-- -->1142<!-- -->)</span>]",Shopee,Toner,Cleanser,"[<p class=""profile-description"">Combination, Medium, Neutral</p>]",More than 1 year,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>myuteadhilia recommends this product!</b></p>]","love hate sama ini produk, mungkin lebih cocok ke dry skin kali ya. diriku pake kurang cocok karena baru sejam aja udah berminyak bngt di muka dan afternya terlalu glow basah bngt, udah gitu ini perihh bangtbkalo luntur kena mata huhu sedih bngt padahal enk pas diblend"""
17,2022-01-18T07:26:43.000Z,699190,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Umslimoon"">Umslimoon</a></p>]","[<p class=""profile-age"">19 - 24</p>]",83180,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/lips/lip-treatment/noera-by-reisha/noera-watermelon-moisturizing-lip-balm?tab=reviews"">Noera Watermelon Moisturizing Lip Balm</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/noera-by-reisha?tab=products&amp;order=popular&amp;page=1"">Noera by Reisha</a></h3>]","[<span class=""rating-text"">4.8</span>]","[<span class=""rating-total"">(<!-- -->118<!-- -->)</span>]",Instagram,Lip Balm \\u0026 Treatments,Lips,"[<p class=""profile-description"">Combination, Medium, Warm</p>]",1 week - 1 month,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>Umslimoon recommends this product!</b></p>]","pertama banget pake eye serum langsung coba dari si npure marigold ini packaging nya mewah ada aplikatornya juga buat blend si gel nya, dingin dan memberikan kesan segar dibawah mata aku, juga mencerahkan kembali mata panda yang selama ini selalu menghantui \xf0\x9f\xa4\xad\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\x98\x94"""
18,2022-01-18T07:26:20.000Z,858126,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/Novita_Sekar"">Novita_Sekar</a></p>]","[<p class=""profile-age"">25 - 29</p>]",83693,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/serum-essence-23/azarine-cosmetics/revitalizingly-bright-depuff-eye-gel-1?tab=reviews"">Revitalizing Anti aging serum</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/azarine-cosmetics?tab=products&amp;order=popular&amp;page=1"">Azarine Cosmetics</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->801<!-- -->)</span>]",Instagram,Serum \\u0026 Essence,Treatment,"[<p class=""profile-description"">Combination, Medium Dark, Warm</p>]",1 week - 1 month,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>Novita_Sekar recommends this product!</b></p>]","Produknya sangat bagus sekali,produk ini bisa membersihkan muka saya setelah memakai make up seharian,tidak membuat wajah menjadi kering dan berjerawat.Cocok untuk kulit sensitif terimakasih \xf0\x9f\x92\x97\xf0\x9f\x99\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f"""
19,2022-01-18T07:24:34.000Z,130872,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/thevelyn"">thevelyn</a></p>]","[<p class=""profile-age"">19 - 24</p>]",83180,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/lips/lip-treatment/noera-by-reisha/noera-watermelon-moisturizing-lip-balm?tab=reviews"">Noera Watermelon Moisturizing Lip Balm</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/noera-by-reisha?tab=products&amp;order=popular&amp;page=1"">Noera by Reisha</a></h3>]","[<span class=""rating-text"">4.8</span>]","[<span class=""rating-total"">(<!-- -->117<!-- -->)</span>]",FD Try and Review,Lip Balm \\u0026 Treatments,Lips,"[<p class=""profile-description"">Dry, Medium Light, Neutral</p>]",Less than 1 week,y,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>thevelyn recommends this product!</b></p>]","my favorite eksfoliasi pads, teksturnya dia bergelombang tapi masih sedikit terasa. essencenya juga lumayan banyak, jadi ga perlu khawatir sakit ketika dipakai. dia jugs mengandung AHA, BHA, PHA, di aku sendiri efeknya lebih untuk membersihkan sel kulit mati dan komedo putih. untuk komedo hitam, belum terlalu ngaruh. selain itu dia juga mengandung centella asiatica sehingga engga membuat kulit kering."""
20,2022-01-18T07:24:25.000Z,870995,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/insyirazeafitri"">insyirazeafitri</a></p>]","[<p class=""profile-age"">19 - 24</p>]",87586,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/moisturizer/day-cream/skintific/5x-ceramide-barrier-repair-moisture-gel-moisturizer?tab=reviews"">5X Ceramide Barrier Repair Moisture Gel Moisturizer</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/skintific?tab=products&amp;order=popular&amp;page=1"">Skintific</a></h3>]","[<span class=""rating-text"">4.7</span>]","[<span class=""rating-total"">(<!-- -->40<!-- -->)</span>]",Shopee,Day Cream,Moisturizer,"[<p class=""profile-description"">Normal, Medium Light, Neutral</p>]",1 month - 3 months,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>insyirazeafitri recommends this product!</b></p>]","red jelly ini bener bener ringan dan mudah sekali meresap ke kulit. bikin garis halus di wajahku jadi memudar. wajah juga jadi lebih lembut. pokoknya aku bakal repurchase lagiu produk ini.. aku sukaaa semua produk skin care dari roro mendut . must have banget ni product \xf0\x9f\xa5\xb0 """
21,2022-01-18T07:24:20.000Z,594881,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/RahelSiagian"">RahelSiagian</a></p>]","[<p class=""profile-age"">19 - 24</p>]",89234,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/eyes/mascara/somethinc/hangover-mascara-1?tab=reviews"">Hangover Voluminous Fiber Lash Smudgeproof Mascara</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/somethinc?tab=products&amp;order=popular&amp;page=1"">Somethinc</a></h3>]","[<span class=""rating-text"">4.6</span>]","[<span class=""rating-total"">(<!-- -->24<!-- -->)</span>]",Gift,Mascara,Eyes,"[<p class=""profile-description"">Combination, Medium Light, Neutral</p>]",1 month - 3 months,y,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>RahelSiagian recommends this product!</b></p>]","produk serum punya mirelle ini termasuk serum yang oke buat bantu cerahin wajah. kebetulan wajah ku termasuk jenis kulit kombinasi, ada beberapa noda bekas jerawat juga. efek serumnya ngga bisa langsung kelihatan ya jadi harus rutin dipakai."""
