,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,review
824,2022-01-17T05:29:50.000Z,986503,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/diarti"">diarti</a></p>]","[<p class=""profile-age"">30 - 34</p>]",57959,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/serum-essence-23/loreal-paris/revitalift-crystal-micro-essence?tab=reviews"">Revitalift Crystal Micro Essence</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/loreal-paris?tab=products&amp;order=popular&amp;page=1"">L'Oreal Paris</a></h3>]","[<span class=""rating-text"">4.4</span>]","[<span class=""rating-total"">(<!-- -->1645<!-- -->)</span>]",Shopee,Serum \\u0026 Essence,Treatment,"[<p class=""profile-description"">Normal, Medium, Warm</p>]",1 month - 3 months,y,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>diarti recommends this product!</b></p>]","aku suka banget sama series micellar water ponds yang ini, terkhusus yang charcoal, di dalamnya ada butiran hitam charcoal nya, gatauu beneran works apa engga, tapi dia gak ganggu proses pembersihan, kalau kena bibir pahit, tapi kalau kena mata ga terlalu perih, jadi bisa hapus eyemakeup sekalian. Aku ga repurchase lagi karena mau eksplor mc dari brand lain."""
825,2022-01-17T05:28:16.000Z,75767,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/chacaatmika"">chacaatmika</a></p>]","[<p class=""profile-age"">30 - 34</p>]",90314,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/foundation/powder/you-beauty/noutriwear-silky-pressed-foundation-w805-yellow-beige-2?tab=reviews"">NoutriWear+ Silky Pressed Foundation</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/you-beauty?tab=products&amp;order=popular&amp;page=1"">Y.O.U Beauty</a></h3>]",[],[],Brand website,Powder,Foundation,"[<p class=""profile-description"">Dry, Medium Dark, Warm</p>]",Less than 1 week,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>chacaatmika recommends this product!</b></p>]","dulu beli ini karena sulit banget dapetin hand sanitizer di zaman zaman awal covid masuk indo, sampe sempet dijualin juga! aku suka banget baunya, ga terlalu alkohol dan ada bau citrus fresh nya sedikit jadi cintak!! aku dulu stock banyak, sekarang gatau deh pada dimana"""
826,2022-01-17T05:28:05.000Z,990554,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/saptin"">saptin</a></p>]","[<p class=""profile-age"">25 - 29</p>]",75273,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/cleanser/facial-wash/ms-glow/facial-wash-ms-glow?tab=reviews"">Facial Wash MS Glow</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/ms-glow?tab=products&amp;order=popular&amp;page=1"">MS Glow</a></h3>]","[<span class=""rating-text"">4.3</span>]","[<span class=""rating-total"">(<!-- -->165<!-- -->)</span>]",Traditional market,Facial Wash,Cleanser,"[<p class=""profile-description"">Oily, Medium, Neutral</p>]",1 week - 1 month,n,3,"[<p class=""recommend""><i class=""icon-ic_thumbs_down""><span class=""path1""></span><span class=""path2""></span></i><b>saptin doesn't recommend this product!<!-- --> </b></p>]","klaimnya anti bacterial, baunya mengarah ke obat2 anti bacterial, diapply ke wajah busa tidak terlalu banyak, setelah dibilas tidak membuat wajah kering ketarik, cukup melembapkan n cukup membersihkan wajah, harganya pun terjangkau."""
827,2022-01-17T05:27:42.000Z,954901,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/mizanaway"">mizanaway</a></p>]","[<p class=""profile-age"">30 - 34</p>]",859,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/moisturizer/sun-protection-44/biore/uv-aqua-rich-watery-essence?tab=reviews"">UV Aqua Rich Watery Essence SPF 50+/PA++++</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/biore?tab=products&amp;order=popular&amp;page=1"">Biore</a></h3>]","[<span class=""rating-text"">4.2</span>]","[<span class=""rating-total"">(<!-- -->7075<!-- -->)</span>]",Shopee,Sun Protection,Moisturizer,"[<p class=""profile-description"">Combination, Light, Cool</p>]",1 week - 1 month,y,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>mizanaway recommends this product!</b></p>]","pertolongan pertama dikala jerawat muncul ,,bikin calming wajah nyegerin wajah bgt, aku biasanya taro di kulkas dlu baru di aplikasikan ke wajah,, bikin kemerahan di kulit sedikit mereda gak bikin perih di bagian yg sensitif loh ........."""
828,2022-01-17T05:26:16.000Z,860672,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/pennypurnama"">pennypurnama</a></p>]","[<p class=""profile-age"">25 - 29</p>]",88545,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/acne-treatment/npure/cica-dark-spot?tab=reviews"">Cica Dark Spot</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/npure?tab=products&amp;order=popular&amp;page=1"">N'pure</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->36<!-- -->)</span>]",Instagram,Acne Treatment,Treatment,"[<p class=""profile-description"">Dry, Medium, Neutral</p>]",1 month - 3 months,y,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>pennypurnama recommends this product!</b></p>]","Ikutan beli karena kata org\\u0026#34; bagus dan sempat viral. Aq beli di official store. Tapi apalah daya 2x pakai aq ga cocok malah jerawatan\xf0\x9f\x98\x85\xf0\x9f\x98\x85. Akhirny harus stop pakai dan benerin jerawat lagi. Untuk warnanya sendiri masih kurang terang sama wajahku."""
829,2022-01-17T05:24:25.000Z,985113,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/siti_rahmah98"">siti_rahmah98</a></p>]","[<p class=""profile-age"">19 - 24</p>]",83693,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/treatment/serum-essence-23/azarine-cosmetics/revitalizingly-bright-depuff-eye-gel-1?tab=reviews"">Revitalizing Anti aging serum</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/azarine-cosmetics?tab=products&amp;order=popular&amp;page=1"">Azarine Cosmetics</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->790<!-- -->)</span>]",Shopee,Serum \\u0026 Essence,Treatment,"[<p class=""profile-description"">Normal, Medium, Neutral</p>]",3 months - 6 months,n,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>siti_rahmah98 recommends this product!</b></p>]","Keren banget. Setelah pemakaian kulit berasa banget kenyal nya. Lebih cerahan juga. Padahal belum habis 1 jar. Pengen banget punya banyak. Karna bagus banget. Suamiku juga langsung bersih komedo nya yang bandel itu"""
830,2022-01-17T05:23:32.000Z,262888,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/ummu_abdillah"">ummu_abdillah</a></p>]","[<p class=""profile-age"">30 - 34</p>]",36280,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/shampoo-conditioner/shampoo-64/herborist/herborist-shampoo-zaitun-natural-anti-oksidan?tab=reviews""> Zaitun Shampoo</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/herborist?tab=products&amp;order=popular&amp;page=1"">Herborist</a></h3>]","[<span class=""rating-text"">3.5</span>]","[<span class=""rating-total"">(<!-- -->123<!-- -->)</span>]",Traditional market,Shampoo,Shampoo \\u0026 Conditioner,"[<p class=""profile-description"">Dry, Medium Light, Neutral</p>]",1 month - 3 months,y,3,"[<p class=""recommend""><i class=""icon-ic_thumbs_down""><span class=""path1""></span><span class=""path2""></span></i><b>ummu_abdillah doesn't recommend this product!<!-- --> </b></p>]","Sayang banget sudah discontinued. Padahal wanginya wangi soft floral yang kalem gitu. Aku suka banget sebenarnya. Walaupun wanginya kurang tahan lama , paling lama cuma bertahan 3 jam . Tapi wanginya worth to try banget buat yang engga terlalu suka parfum yang wanginya bold."""
831,2022-01-17T05:19:24.000Z,1373,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/wind1403"">wind1403</a></p>]","[<p class=""profile-age"">35 - 39</p>]",90308,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/foundation/liquid/you-beauty/24h-noutriwear-velvet-liquid-foundation-spf-25-pa-c304-pink-nude-2?tab=reviews"">24H NoutriWear+ Velvet Liquid Foundation</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/you-beauty?tab=products&amp;order=popular&amp;page=1"">Y.O.U Beauty</a></h3>]","[<span class=""rating-text"">5</span>]","[<span class=""rating-total"">(<!-- -->2<!-- -->)</span>]",Brand website,Liquid,Foundation,"[<p class=""profile-description"">Dry, Medium Light, Cool</p>]",1 week - 1 month,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>wind1403 recommends this product!</b></p>]","kepengen banget buat suka sama setting spray ini tapi sayangnya emang ga cocok di wajahku. pertama, semprotannya ga nyebar, cuma di 1 titik berasanya. jadi harus pake \\u0026#34;agak banyak\\u0026#34; karena berasanya belom kena semua. tapii.. kalo pake beberapa semprot lebih banyak, kaya berasa ada sesuatu lapisan di atas wajah yang ga ilang selama beberapa menit. setting spray ini juga bener2 bikin pori2 kesumbat. padahal setting spray ini beneran bagus banget biar bikin cushion yang nempel ke masker jadi minimal. tapii.. dengan hasil yang bikin komedo makin banyak + bruntusan ga beres2, it\'s just a big no for me :("""
832,2022-01-17T05:18:34.000Z,988580,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/meitriii"">meitriii</a></p>]","[<p class=""profile-age"">19 - 24</p>]",87157,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/cleanser/facial-wash/ponds/berry-glow-facial-foam?tab=reviews"">Berry Glow Facial Foam</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/ponds?tab=products&amp;order=popular&amp;page=1"">Pond's</a></h3>]","[<span class=""rating-text"">4.9</span>]","[<span class=""rating-total"">(<!-- -->50<!-- -->)</span>]",Alfamidi,Facial Wash,Cleanser,"[<p class=""profile-description"">Combination, Medium Dark, Warm</p>]",1 week - 1 month,y,5,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>meitriii recommends this product!</b></p>]","bagus banget ga si produknya, banyak review yang bagus jadi pingin nyoba, ga perih dan ga bikin iritasi guys bikin glowing juga g si pokoknya must have this product, produk envygreen produk lokal terdebestt"""
833,2022-01-17T05:17:35.000Z,537881,"[<p class=""profile-username""><a href=""//account.femaledaily.com/user/HendrikaValeskaAndhela"">HendrikaValeskaAndhela</a></p>]","[<p class=""profile-age"">19 - 24</p>]",5262,"[<p class=""product-name""><a href=""//reviews.femaledaily.com/products/shampoo-conditioner/shampoo-64/erha/hairgrow-shampoo?tab=reviews"">Erhair Hairgrow Shampoo</a></p>]","[<h3 class=""product-brand""><a href=""//reviews.femaledaily.com/brands/erha?tab=products&amp;order=popular&amp;page=1"">Erha </a></h3>]","[<span class=""rating-text"">3.8</span>]","[<span class=""rating-total"">(<!-- -->95<!-- -->)</span>]",Tokopedia,Shampoo,Shampoo \\u0026 Conditioner,"[<p class=""profile-description"">Dry, Medium Light, Neutral</p>]",1 month - 3 months,n,4,"[<p class=""recommend""><i class=""icon-ic_thumbs_up""><span class=""path1""></span><span class=""path2""></span></i><b>HendrikaValeskaAndhela recommends this product!</b></p>]","pemakaian 2 minggu. yang aku rasakan efek langsung saat pemakaian adalah serum hylapore away ini waterly cepat meresap, dan berasa langsung kenceng diwajah. so far aku perhatikan pori-pori besar diarea hidung aku mengecil bangetttt"""
